Paper Title,Abstract,Authors,Label,Date published,Date added,Date read,Link,Read,Recorded,Parent,
Building Machines that Learn and Think Like People,,"Brenden M. Lake, Tomer D. Ullman, Joshua B. Tenenbaum, Samuel J. Gershman",Deep learning commentary,,5/20/2019,5/1/2019,https://arxiv.org/pdf/1604.00289.pdf,TRUE,FALSE,None,
Learning to Navigate in Complex Environments,,"Piotr Mirowski, Razvan Pascanu, Fabio Viola, Hubert Soyer, Andrew J. Ballard, Andrea Banino, Misha Denil, Ross Goroshin, Laurent Sifre, Koray Kavukcuoglu, Dharshan Kumaran, Raia Hadsell",Navigation,,5/20/2019,5/20/2019,https://arxiv.org/pdf/1611.03673.pdf,TRUE,TRUE,None,
Augmenting Supervised Neural Networks with Unsupervised Objectives for Large-scale Image Classification,,"Yuting Zhang, Kibok Lee, Honglak Lee",NN training methods,,5/20/2019,,https://arxiv.org/pdf/1606.06582,FALSE,FALSE,Learning to Navigate in Complex Environments,
Deep Successor Reinforcement Learning,,"Tejas D. Kulkarni, Ardavan Saeedi, Simanta Gautam, Samuel J. Gershman",Reinforcement learning,,5/20/2019,,https://arxiv.org/pdf/1606.02396,FALSE,FALSE,Learning to Navigate in Complex Environments,
A Deep Hierarchical Approach to Lifelong Learning in Minecraft,,"Chen Tessler, Shahar Givony, Tom Zahavy, Daniel J. Mankowitz, Shie Mannor",Reinforcement learning,,5/20/2019,,https://arxiv.org/pdf/1604.07255,FALSE,FALSE,Learning to Navigate in Complex Environments,
Context encoders: Feature Learning by Inpainting,,"Deepak Pathak, Philipp Krahenbuhl, Jeff Donahue, Trevor Darrell, Alexei A. Efros",Computer vision,,5/21/2019,,https://arxiv.org/pdf/1604.07379,FALSE,FALSE,Learning to Look Around: Intelligently Exploring Unseen Environments for Unknown Tasks,
Human-level concept learning through probabilistic program induction,,"Brenden M. Lake, Ruslan Salakhutdinov, Joshua B. Tenenbaum",Intelligence modeling,,5/21/2019,5/21/2019,https://web.mit.edu/cocosci/Papers/Science-2015-Lake-1332-8.pdf,TRUE,TRUE,Building Machines that Learn and Think Like People,
Learning to Look Around: Intelligently Exploring Unseen Environments for Unknown Tasks,,"Dinesh Jayaraman, Kristen Grauman",Navigation,,5/21/2019,5/21/2019,https://arxiv.org/pdf/1709.00507.pdf,TRUE,TRUE,None,
Recurrent Models of Visual Attention,,"Volodymyr Mnih, Nicolas Heess, Alex Graves, Koray Kavukcuoglu",Computer vision,,5/22/2019,5/23/2019,https://arxiv.org/pdf/1406.6247.pdf,TRUE,FALSE,Building Machines that Learn and Think Like People,
Generative Temporal Models with Memory,,"Mevlana Gemici, Chia-Chun Hung, Adam Santoro, Greg Wayne, Shakir Mohamed, Danilo J. Rezende, David Amos, Timothy Lillicrap",Generative models,,5/23/2019,,https://arxiv.org/pdf/1702.04649,FALSE,FALSE,World Models,
Replay Comes of Age,,David J. Foster,Neuroscience,,5/23/2019,,https://www.annualreviews.org/doi/10.1146/annurev-neuro-072116-031538,FALSE,FALSE,World Models,
